"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5";"Jugador6";"Jugador7";"Jugador8";"Jugador9";"Jugador10";"Jugador11";"Jugador12";"Jugador13";"Jugador14"
"REGLAS";"ReglaAzar";"ReglaPrimeraCarta";"ReglaPriorizarCartaNumerica";"ReglaPriorizarCartaAccion";"ReglaPriorizarCartasRobar";"ReglaPriorizarComodines";"ReglaNoPriorizarCartasRobar";"ReglaPriorizarCartasAccionNoComodin";"ReglaCambiarColorMedio";"ReglaNoCambiarColorMedio";"ReglaCompararTiposCartasMasFrecuente";"ReglaCompararTiposCartasMenosFrecuente";"ReglaContarColoresMasFrecuente";"ReglaContarColoresMenosFrecuente"
"CARTAS JUGADAS";"6825";"6885";"6889";"6775";"6747";"6822";"6703";"6748";"6627";"6702";"6713";"6830";"6790";"6694"
"CARTAS ROBADAS";"4078";"4179";"3546";"3784";"3907";"4162";"3628";"4047";"3984";"3519";"3940";"4082";"3716";"3727"
"CARTAS +4";"317";"355";"322";"271";"335";"302";"297";"279";"335";"260";"270";"328";"291";"320"
"CARTAS +2";"507";"473";"530";"773";"607";"510";"601";"555";"479";"775";"465";"613";"627";"628"
"CARTAS CAMBIO DE SENTIDO";"414";"419";"398";"752";"399";"453";"817";"568";"432";"508";"445";"541";"455";"714"
"CARTAS QUITAR TURNO";"439";"406";"556";"567";"432";"563";"601";"555";"377";"665";"295";"539";"515";"597"
"CARTAS CAMBIA COLOR";"284";"283";"248";"294";"278";"341";"266";"288";"331";"265";"247";"296";"243";"298"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"248";"296";"375";"297";"268";"258";"344";"257";"249";"327";"285";"277";"344";"289"
"VECES QUE HA GANADO";"55";"62";"98";"77";"67";"53";"84";"53";"54";"89";"78";"63";"103";"64"

"GANADOR DE LAS PARTIDAS";"Jugador13"
