"JUGADORES";"Usuario";"Bot 1";"Bot 2";"Bot 3"
"REGLAS";"NO APLICA";"ReglaAzar";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"9";"7";"8";"8"
"CARTAS ROBADAS";"2";"2";"7";"5"
"CARTAS +4";"0";"0";"0";"0"
"CARTAS +2";"2";"0";"0";"2"
"CARTAS CAMBIO DE SENTIDO";"0";"1";"1";"2"
"CARTAS QUITAR TURNO";"0";"0";"0";"0"
"CARTAS CAMBIA COLOR";"2";"0";"0";"0"
"VECES QUE HA INTENTADO HACER TRAMPA";"2";"0";"0";"0"
"VECES QUE CANTA UNO";"2";"0";"0";"0"
"VECES QUE HA GANADO";"1";"0";"0";"0"

"GANADOR DE LAS PARTIDAS";"Usuario"
