"JUGADORES";"a";"b";"c";"t"
"REGLAS";"ReglaAzar";"ReglaPriorizarCartaNumerica";"ReglaAzar,ReglaPriorizarCartaNumerica";"ReglaCompararTiposCartasMenosFrecuente"
"CARTAS JUGADAS";"5061";"5191";"5202";"5154"
"CARTAS ROBADAS";"3121";"3195";"3041";"3306"
"CARTAS +4";"243";"221";"231";"201"
"CARTAS +2";"435";"346";"420";"460"
"CARTAS CAMBIO DE SENTIDO";"380";"335";"369";"447"
"CARTAS QUITAR TURNO";"356";"289";"383";"454"
"CARTAS CAMBIA COLOR";"242";"252";"216";"233"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"378";"417";"458";"366"
"VECES QUE HA GANADO";"117";"130";"145";"108"

"GANADOR DE LAS PARTIDAS";"c"
