"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5";"Jugador6";"Jugador7";"Jugador8";"Jugador9";"Jugador10";"Jugador11";"Jugador12";"Jugador13";"Jugador13";"Jugador13";"Jugador13";"Jugador13";"Jugador13";"Jugador13";"Jugador13";"Jugador13";"Jugador13"
"REGLAS";"ReglaAzar";"ReglaPrimeraCarta";"ReglaPriorizarCartaNumerica";"ReglaPriorizarCartaAccion";"ReglaPriorizarCartasRobar";"ReglaPriorizarComodines";"ReglaNoPriorizarCartasRobar";"ReglaPriorizarCartasAccionNoComodin";"ReglaCambiarColorMedio";"ReglaCompararTiposCartasMasFrecuente";"ReglaCompararTiposCartasMenosFrecuente";"ReglaContarColoresMasFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente";"ReglaContarColoresMenosFrecuente"
"CARTAS JUGADAS";"7022";"7162";"7142";"6981";"6620";"6756";"6762";"6779";"6734";"6723";"6740";"6790";"6722";"6733";"6626";"6808";"6727";"6797";"6763";"6801";"6821";"6937"
"CARTAS ROBADAS";"4722";"5200";"4919";"6108";"5026";"4659";"4588";"4506";"4427";"4126";"4391";"4411";"4640";"4341";"4519";"4403";"4570";"4599";"4541";"4437";"4700";"5522"
"CARTAS +4";"818";"911";"793";"498";"370";"369";"339";"341";"367";"348";"368";"342";"391";"370";"369";"360";"369";"390";"346";"391";"377";"413"
"CARTAS +2";"542";"544";"545";"914";"966";"765";"451";"675";"520";"531";"635";"575";"566";"702";"803";"777";"604";"566";"546";"583";"557";"570"
"CARTAS CAMBIO DE SENTIDO";"450";"498";"369";"952";"675";"662";"509";"616";"497";"393";"578";"504";"499";"572";"697";"729";"503";"479";"466";"486";"500";"494"
"CARTAS QUITAR TURNO";"489";"501";"340";"930";"635";"555";"516";"616";"494";"383";"571";"473";"468";"636";"589";"687";"453";"452";"452";"475";"447";"528"
"CARTAS CAMBIA COLOR";"833";"688";"655";"380";"329";"373";"275";"308";"349";"298";"313";"253";"356";"332";"324";"318";"345";"383";"359";"346";"355";"356"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"276";"262";"312";"153";"162";"177";"203";"205";"194";"260";"216";"243";"182";"216";"147";"200";"182";"233";"197";"201";"175";"132"
"VECES QUE HA GANADO";"69";"73";"90";"31";"27";"30";"45";"47";"46";"60";"41";"64";"35";"55";"36";"39";"46";"42";"28";"35";"40";"21"

"GANADOR DE LAS PARTIDAS";"Jugador3"
